word,pos,meaning,example,frequency,source_rank,other_spellings,source_dataset
meet,,遇见、会见,,374,480,,exam-data/NETEMVocabulary
concern,,关心、涉及,,373,481,,exam-data/NETEMVocabulary
task,,任务,,373,482,,exam-data/NETEMVocabulary
scientific,,科学的、细致严谨的,,371,483,,exam-data/NETEMVocabulary
effort,,努力,,371,484,,exam-data/NETEMVocabulary
plant,,植物、工厂,,369,485,,exam-data/NETEMVocabulary
encourage,,鼓励、发展,,366,486,encorage,exam-data/NETEMVocabulary
career,,职业,,364,487,,exam-data/NETEMVocabulary
fail,,衰退、破产,,363,488,,exam-data/NETEMVocabulary
influence,,影响,,362,489,,exam-data/NETEMVocabulary
avoid,,避免,,362,490,,exam-data/NETEMVocabulary
music,,音乐,,361,491,,exam-data/NETEMVocabulary
add,,增加,,360,492,,exam-data/NETEMVocabulary
policy,,政策,,358,493,,exam-data/NETEMVocabulary
item,,物品、条款,,358,494,,exam-data/NETEMVocabulary
force,,强迫、迫使,,357,495,,exam-data/NETEMVocabulary
member,,成员,,356,496,,exam-data/NETEMVocabulary
explain,,解释,,355,497,,exam-data/NETEMVocabulary
translation,,翻译,,355,498,,exam-data/NETEMVocabulary
side,,一边,,355,499,,exam-data/NETEMVocabulary
enjoy,,享受,,355,500,,exam-data/NETEMVocabulary
cut,,切、砍,,355,501,,exam-data/NETEMVocabulary
adult,,大人、成人,,353,502,,exam-data/NETEMVocabulary
international,,国际的,,352,503,,exam-data/NETEMVocabulary
training,,训练,,352,504,,exam-data/NETEMVocabulary
general,,一般的、总的、将军,,352,505,,exam-data/NETEMVocabulary
nature,,自然界、性质,,350,506,,exam-data/NETEMVocabulary
type,,类型、输入,,350,507,,exam-data/NETEMVocabulary
doctor,,医生,,349,508,,exam-data/NETEMVocabulary
mother,,妈妈,,349,509,,exam-data/NETEMVocabulary
situation,,情况,,348,510,,exam-data/NETEMVocabulary
several,,几个,,348,511,,exam-data/NETEMVocabulary
save,,保存、拯救,,348,512,,exam-data/NETEMVocabulary
essay,,论文,,347,513,,exam-data/NETEMVocabulary
game,,游戏,,347,514,,exam-data/NETEMVocabulary
graduate,,毕业、获学位,,346,515,,exam-data/NETEMVocabulary
decade,,十年,,345,516,,exam-data/NETEMVocabulary
medical,,医疗的,,345,517,,exam-data/NETEMVocabulary
miss,,错过、想念,,345,518,,exam-data/NETEMVocabulary
train,,列车、行列,,344,519,,exam-data/NETEMVocabulary
third,,第三,,343,520,,exam-data/NETEMVocabulary
interview,,采访、面试,,343,521,,exam-data/NETEMVocabulary
stop,,阻止,,342,522,,exam-data/NETEMVocabulary
financial,,财政的,,340,523,,exam-data/NETEMVocabulary
reach,,到达、达到,,340,524,,exam-data/NETEMVocabulary
professional,,职业的、专业的,,338,525,,exam-data/NETEMVocabulary
sign,,标牌,,338,526,,exam-data/NETEMVocabulary
earth,,地球、泥土,,337,527,,exam-data/NETEMVocabulary
project,,项目、计划,,334,528,,exam-data/NETEMVocabulary
generation,,产生、一代人,,333,529,,exam-data/NETEMVocabulary
standard,,标准,,333,530,,exam-data/NETEMVocabulary
war,,战争,,333,531,,exam-data/NETEMVocabulary
story,,故事,,333,532,storey,exam-data/NETEMVocabulary
rich,,丰富的,,333,533,,exam-data/NETEMVocabulary
later,,后来、其后,,332,534,,exam-data/NETEMVocabulary
again,,再次,,332,535,,exam-data/NETEMVocabulary
air,,空气,,331,536,,exam-data/NETEMVocabulary
night,,夜晚,,331,537,,exam-data/NETEMVocabulary
contain,,包含,,331,538,,exam-data/NETEMVocabulary
main,,主要的,,330,539,,exam-data/NETEMVocabulary
soon,,很快的,,329,540,,exam-data/NETEMVocabulary
sound,,声音,,329,541,,exam-data/NETEMVocabulary
love,,爱,,329,542,,exam-data/NETEMVocabulary
account,,账户,,328,543,,exam-data/NETEMVocabulary
return,,回归、返回,,328,544,,exam-data/NETEMVocabulary
affect,,影响,,328,545,,exam-data/NETEMVocabulary
translate,,解释、翻译、转变,,327,546,,exam-data/NETEMVocabulary
sure,,肯定的,,327,547,,exam-data/NETEMVocabulary
describe,,描述,,326,548,,exam-data/NETEMVocabulary
purpose,,目的,,325,549,,exam-data/NETEMVocabulary
full,,满的,,325,550,,exam-data/NETEMVocabulary
room,,房间,,325,551,,exam-data/NETEMVocabulary
appear,,出现,,323,552,,exam-data/NETEMVocabulary
impact,,冲击,,322,553,,exam-data/NETEMVocabulary
period,,一段时间,,320,554,,exam-data/NETEMVocabulary
television,,电视,,319,555,,exam-data/NETEMVocabulary
quite,,相当的,,319,556,,exam-data/NETEMVocabulary
position,,位置,,318,557,,exam-data/NETEMVocabulary
attitude,,态度,,317,558,,exam-data/NETEMVocabulary
machine,,机器,,317,559,,exam-data/NETEMVocabulary
clear,,清楚的,,316,560,,exam-data/NETEMVocabulary
field,,田地、场地、领域,,316,561,,exam-data/NETEMVocabulary
pass,,经过,,315,562,,exam-data/NETEMVocabulary
below,,在…下面,,314,563,,exam-data/NETEMVocabulary
here,,这里,,314,564,,exam-data/NETEMVocabulary
communication,,沟通,,314,565,,exam-data/NETEMVocabulary
protect,,保护,,314,566,,exam-data/NETEMVocabulary
performance,,表演,,312,567,,exam-data/NETEMVocabulary
lecture,,讲座,,312,568,,exam-data/NETEMVocabulary
factor,,因素、因子,,311,569,,exam-data/NETEMVocabulary
top,,顶端,,311,570,,exam-data/NETEMVocabulary
firm,,牢固的,,310,571,,exam-data/NETEMVocabulary
draw,,画画,,310,572,,exam-data/NETEMVocabulary
memory,,记忆,,310,573,,exam-data/NETEMVocabulary
whole,,全部的,,310,574,,exam-data/NETEMVocabulary
writer,,作家,,308,575,,exam-data/NETEMVocabulary
watch,,观看,,308,576,,exam-data/NETEMVocabulary
death,,死亡,,307,577,,exam-data/NETEMVocabulary
white,,白色的,,307,578,,exam-data/NETEMVocabulary
academic,,学术的,,307,579,,exam-data/NETEMVocabulary
bear,,携带、承受,,306,580,,exam-data/NETEMVocabulary
importance,,重要性,,306,581,,exam-data/NETEMVocabulary
decline,,拒绝、下降,,305,582,,exam-data/NETEMVocabulary
claim,,索要、声称,,305,583,,exam-data/NETEMVocabulary
model,,模型,,305,584,,exam-data/NETEMVocabulary
wrong,,错误的,,305,585,,exam-data/NETEMVocabulary
expert,,专家、专门的,,304,586,,exam-data/NETEMVocabulary
carry,,携带,,302,587,,exam-data/NETEMVocabulary
act,,行为、行动、扮演,,302,588,,exam-data/NETEMVocabulary
send,,发送,,302,589,,exam-data/NETEMVocabulary
accept,,接受,,299,590,,exam-data/NETEMVocabulary
potential,,潜在的,,299,591,,exam-data/NETEMVocabulary
degree,,温度、程度,,299,592,,exam-data/NETEMVocabulary
resource,,资源,,299,593,,exam-data/NETEMVocabulary
pause,,暂停,,298,594,,exam-data/NETEMVocabulary
opinion,,意见,,297,595,,exam-data/NETEMVocabulary
income,,收入,,297,596,,exam-data/NETEMVocabulary
amount,,数量,,297,597,,exam-data/NETEMVocabulary
disease,,疾病,,296,598,,exam-data/NETEMVocabulary
stand,,站立,,295,599,,exam-data/NETEMVocabulary
political,,政治的,,294,600,,exam-data/NETEMVocabulary
popular,,受欢迎的,,294,601,,exam-data/NETEMVocabulary
argue,,论述、争论、争吵,,293,602,,exam-data/NETEMVocabulary
physical,,自然科学的、肉体的,,293,603,,exam-data/NETEMVocabulary
team,,团队,,293,604,,exam-data/NETEMVocabulary
action,,行动、行为,,291,605,,exam-data/NETEMVocabulary
material,,材料,,290,606,,exam-data/NETEMVocabulary
prove,,证明,,289,607,,exam-data/NETEMVocabulary
compare,,比较,,289,608,,exam-data/NETEMVocabulary
competition,,比赛,,287,609,,exam-data/NETEMVocabulary
nothing,,没有,,287,610,,exam-data/NETEMVocabulary
perhaps,,也许,,286,611,,exam-data/NETEMVocabulary
private,,私人的,,286,612,,exam-data/NETEMVocabulary
please,,请、使愉快,,286,613,,exam-data/NETEMVocabulary
head,,前往,,285,614,,exam-data/NETEMVocabulary
street,,街道,,285,615,,exam-data/NETEMVocabulary
available,,可行的,,284,616,,exam-data/NETEMVocabulary
current,,当前、电流、趋向,,284,617,,exam-data/NETEMVocabulary
boy,,男孩,,284,618,,exam-data/NETEMVocabulary
goal,,目标,,283,619,,exam-data/NETEMVocabulary
loss,,丢失,,283,620,,exam-data/NETEMVocabulary
evidence,,证据,,283,621,,exam-data/NETEMVocabulary
together,,一共,,283,622,,exam-data/NETEMVocabulary
speed,,加速,,283,623,,exam-data/NETEMVocabulary
middle,,中间的,,281,624,,exam-data/NETEMVocabulary
along,,沿着,,281,625,,exam-data/NETEMVocabulary
sale,,销售,,280,626,,exam-data/NETEMVocabulary
production,,生产,,279,627,,exam-data/NETEMVocabulary
grade,,年级,,279,628,,exam-data/NETEMVocabulary
visit,,参观、访问,,279,629,,exam-data/NETEMVocabulary
content,,内容、目录、满足的,,278,630,,exam-data/NETEMVocabulary
source,,来源,,276,631,,exam-data/NETEMVocabulary
security,,安全,,276,632,,exam-data/NETEMVocabulary
pressure,,压力,,275,633,,exam-data/NETEMVocabulary
gap,,间隙、分歧,,275,634,,exam-data/NETEMVocabulary
across,,穿过,,275,635,,exam-data/NETEMVocabulary
let,,让,,275,636,,exam-data/NETEMVocabulary
depend,,依赖,,274,637,,exam-data/NETEMVocabulary
especially,,尤其,,274,638,,exam-data/NETEMVocabulary
modern,,现代的,,274,639,,exam-data/NETEMVocabulary
simply,,仅仅,,274,640,,exam-data/NETEMVocabulary
farm,,农场,,274,641,,exam-data/NETEMVocabulary
approach,,接近、方法,,273,642,,exam-data/NETEMVocabulary
correct,,更正、纠正,,273,643,,exam-data/NETEMVocabulary
special,,特别的,,272,644,,exam-data/NETEMVocabulary
hope,,希望,,272,645,,exam-data/NETEMVocabulary
someone,,某人,,272,646,,exam-data/NETEMVocabulary
speaker,,扬声器、说话人,,272,647,,exam-data/NETEMVocabulary
intelligence,,智力,,271,648,,exam-data/NETEMVocabulary
picture,,图片,,271,649,,exam-data/NETEMVocabulary
survey,,调查、测量,,271,650,,exam-data/NETEMVocabulary
everyone,,每人,,270,651,,exam-data/NETEMVocabulary
event,,事件,,270,652,,exam-data/NETEMVocabulary
either,,两者之一,,269,653,,exam-data/NETEMVocabulary
step,,步骤,,268,654,,exam-data/NETEMVocabulary
habit,,习惯,,267,655,,exam-data/NETEMVocabulary
responsibility,,责任,,267,656,,exam-data/NETEMVocabulary
similar,,相似的,,267,657,,exam-data/NETEMVocabulary
necessary,,必要的,,266,658,,exam-data/NETEMVocabulary
chance,,机会,,266,659,,exam-data/NETEMVocabulary
foreign,,国外的,,265,660,,exam-data/NETEMVocabulary
apply,,应用,,265,661,,exam-data/NETEMVocabulary
father,,父亲,,265,662,,exam-data/NETEMVocabulary
driver,,驾驶员,,264,663,,exam-data/NETEMVocabulary
oil,,油,,264,664,,exam-data/NETEMVocabulary
anything,,任何事,,264,665,,exam-data/NETEMVocabulary
access,,进入、存取,,264,666,,exam-data/NETEMVocabulary
sport,,体育运动,,264,667,,exam-data/NETEMVocabulary
exist,,存在,,263,668,,exam-data/NETEMVocabulary
advantage,,优势,,262,669,,exam-data/NETEMVocabulary
newspaper,,报纸,,261,670,,exam-data/NETEMVocabulary
remember,,记得,,261,671,,exam-data/NETEMVocabulary
agree,,同意,,261,672,,exam-data/NETEMVocabulary
manager,,经理,,261,673,,exam-data/NETEMVocabulary
land,,着陆、土地,,260,674,,exam-data/NETEMVocabulary
solve,,解答,,260,675,,exam-data/NETEMVocabulary
function,,功能,,259,676,,exam-data/NETEMVocabulary
management,,经营、管理,,259,677,,exam-data/NETEMVocabulary
phrase,,短语,,259,678,,exam-data/NETEMVocabulary
experiment,,实验,,258,679,,exam-data/NETEMVocabulary
structure,,结构,,258,680,,exam-data/NETEMVocabulary
everything,,每件事,,258,681,,exam-data/NETEMVocabulary
sit,,坐在,,258,682,,exam-data/NETEMVocabulary
seek,,寻求,,257,683,,exam-data/NETEMVocabulary
message,,消息,,257,684,,exam-data/NETEMVocabulary
per,,每、经,,255,685,,exam-data/NETEMVocabulary
promote,,促进,,255,686,,exam-data/NETEMVocabulary
figure,,算计、人物、数字,,254,687,,exam-data/NETEMVocabulary
road,,路,,254,688,,exam-data/NETEMVocabulary
limit,,限制,,252,689,,exam-data/NETEMVocabulary
sometimes,,有时,,252,690,,exam-data/NETEMVocabulary
fear,,恐惧,,251,691,,exam-data/NETEMVocabulary
supply,,供应,,251,692,,exam-data/NETEMVocabulary
argument,,争论、论据,,248,693,,exam-data/NETEMVocabulary
relate,,讲述、使相互关联,,248,694,,exam-data/NETEMVocabulary
effective,,有效的,,248,695,,exam-data/NETEMVocabulary
prevent,,阻止,,247,696,,exam-data/NETEMVocabulary
pattern,,模式、图案,,246,697,,exam-data/NETEMVocabulary
baby,,宝贝,,246,698,,exam-data/NETEMVocabulary
search,,搜索,,245,699,,exam-data/NETEMVocabulary
itself,,它自己,,245,700,,exam-data/NETEMVocabulary
response,,回应,,245,701,,exam-data/NETEMVocabulary
beyond,,超越,,244,702,,exam-data/NETEMVocabulary
regard,,看待,,244,703,,exam-data/NETEMVocabulary
reader,,读者、读物,,244,704,,exam-data/NETEMVocabulary
serious,,严肃认真的、严重的,,244,705,,exam-data/NETEMVocabulary
near,,近的、亲近的,,244,706,,exam-data/NETEMVocabulary
serve,,服务,,243,707,,exam-data/NETEMVocabulary
president,,总统,,243,708,,exam-data/NETEMVocabulary
climate,,气候,,243,709,,exam-data/NETEMVocabulary
heart,,心,,243,710,,exam-data/NETEMVocabulary
black,,黑色的,,243,711,,exam-data/NETEMVocabulary
traffic,,交通,,242,712,,exam-data/NETEMVocabulary
walk,,走路,,242,713,,exam-data/NETEMVocabulary
determine,,决定,,241,714,,exam-data/NETEMVocabulary
gain,,获得、增加,,241,715,,exam-data/NETEMVocabulary
speech,,演讲、言语,,241,716,,exam-data/NETEMVocabulary
award,,颁奖、奖励,,241,717,,exam-data/NETEMVocabulary
prepare,,准备,,240,718,,exam-data/NETEMVocabulary
except,,除了……之外,,239,719,,exam-data/NETEMVocabulary
publish,,公布、出版,,238,720,,exam-data/NETEMVocabulary
digital,,数字的、数码的,,238,721,,exam-data/NETEMVocabulary
suffer,,遭受,,238,722,,exam-data/NETEMVocabulary
mental,,精神的,,237,723,,exam-data/NETEMVocabulary
positive,,积极的,,237,724,,exam-data/NETEMVocabulary
outside,,外面的,,236,725,,exam-data/NETEMVocabulary
party,,派对,,236,726,,exam-data/NETEMVocabulary
dream,,梦想,,235,727,,exam-data/NETEMVocabulary
increasingly,,不断增加地,,235,728,,exam-data/NETEMVocabulary
trade,,交易,,235,729,,exam-data/NETEMVocabulary
contribute,,贡献,,235,730,,exam-data/NETEMVocabulary
drink,,喝,,235,731,,exam-data/NETEMVocabulary
therefore,,因此,,233,732,,exam-data/NETEMVocabulary
himself,,他自己、他本人,,233,733,,exam-data/NETEMVocabulary
achieve,,实现,,232,734,,exam-data/NETEMVocabulary
conflict,,冲突,,232,735,,exam-data/NETEMVocabulary
trouble,,麻烦,,231,736,,exam-data/NETEMVocabulary
nearly,,几乎,,230,737,,exam-data/NETEMVocabulary
girl,,女孩,,230,738,,exam-data/NETEMVocabulary
status,,状态,,229,739,,exam-data/NETEMVocabulary
exercise,,锻炼,,229,740,exercize,exam-data/NETEMVocabulary
various,,各种各样的,,229,741,,exam-data/NETEMVocabulary
basic,,基本的、根本的,,228,742,,exam-data/NETEMVocabulary
fit,,健康的、适合,,228,743,,exam-data/NETEMVocabulary
above,,在…上面,,228,744,,exam-data/NETEMVocabulary
occur,,发生,,228,745,,exam-data/NETEMVocabulary
refer,,提及,,228,746,,exam-data/NETEMVocabulary
die,,死,,227,747,,exam-data/NETEMVocabulary
town,,城镇,,226,748,,exam-data/NETEMVocabulary
maintain,,保持、维持,,226,749,,exam-data/NETEMVocabulary
wait,,等待,,226,750,,exam-data/NETEMVocabulary
failure,,失败,,226,751,,exam-data/NETEMVocabulary
composition,,构成、作品、作词,,226,752,,exam-data/NETEMVocabulary
attend,,出席、照看,,226,753,,exam-data/NETEMVocabulary
critical,,批评的、关键的,,225,754,,exam-data/NETEMVocabulary
alone,,单独的、仅仅,,224,755,,exam-data/NETEMVocabulary
meeting,,会议,,224,756,,exam-data/NETEMVocabulary
tax,,税、对……征税,,223,757,,exam-data/NETEMVocabulary
feature,,特征、容貌、以……为特色,,223,758,,exam-data/NETEMVocabulary
express,,表达,,222,759,,exam-data/NETEMVocabulary
shift,,转移、转换,,221,760,,exam-data/NETEMVocabulary
hundred,,百、许多,,221,761,,exam-data/NETEMVocabulary
simple,,简单的,,221,762,,exam-data/NETEMVocabulary
successful,,成功的,,221,763,,exam-data/NETEMVocabulary
thousand,,一千,,221,764,,exam-data/NETEMVocabulary
theory,,理论,,220,765,,exam-data/NETEMVocabulary
key,,钥匙、关键,,220,766,,exam-data/NETEMVocabulary
image,,形象、肖像,,220,767,,exam-data/NETEMVocabulary
couple,,情侣、夫妻,,220,768,,exam-data/NETEMVocabulary
whose,,谁的,,219,769,,exam-data/NETEMVocabulary
catch,,抓住,,219,770,,exam-data/NETEMVocabulary
select,,选择,,219,771,,exam-data/NETEMVocabulary
card,,卡片、纸牌,,219,772,,exam-data/NETEMVocabulary
cover,,覆盖,,218,773,,exam-data/NETEMVocabulary
earn,,挣得,,218,774,,exam-data/NETEMVocabulary
farmer,,农民,,218,775,,exam-data/NETEMVocabulary
trend,,趋势,,217,776,,exam-data/NETEMVocabulary
attract,,吸引,,217,777,,exam-data/NETEMVocabulary
clean,,干净的,,217,778,,exam-data/NETEMVocabulary
method,,方法,,216,779,,exam-data/NETEMVocabulary
promise,,承诺,,216,780,promize,exam-data/NETEMVocabulary
desire,,渴望,,216,781,,exam-data/NETEMVocabulary
lie,,谎话、说谎,,216,782,,exam-data/NETEMVocabulary
healthy,,健康的、有益健康的,,216,783,,exam-data/NETEMVocabulary
rest,,休息,,215,784,,exam-data/NETEMVocabulary
difficulty,,困难,,215,785,,exam-data/NETEMVocabulary
network,,网络,,215,786,,exam-data/NETEMVocabulary
billion,,十亿、万亿,,214,787,,exam-data/NETEMVocabulary
detail,,细节,,214,788,,exam-data/NETEMVocabulary
daily,,破晓、开始,,214,789,,exam-data/NETEMVocabulary
normal,,正常的,,214,790,,exam-data/NETEMVocabulary
reward,,回报、报酬,,214,791,,exam-data/NETEMVocabulary
post,,发布、张贴、邮寄,,214,792,,exam-data/NETEMVocabulary
cook,,烹饪,,214,793,,exam-data/NETEMVocabulary
upon,,在…上面,,213,794,,exam-data/NETEMVocabulary
thus,,因此,,212,795,,exam-data/NETEMVocabulary
toward,,向、朝向,,212,796,,exam-data/NETEMVocabulary
discover,,探索、发现,,211,797,,exam-data/NETEMVocabulary
behind,,在…后面,,211,798,,exam-data/NETEMVocabulary
introduce,,介绍,,211,799,,exam-data/NETEMVocabulary
else,,其他,,211,800,,exam-data/NETEMVocabulary
drop,,掉下,,211,801,,exam-data/NETEMVocabulary
device,,装置、方法,,211,802,,exam-data/NETEMVocabulary
court,,法庭、球场,,210,803,cort,exam-data/NETEMVocabulary
drug,,药,,210,804,,exam-data/NETEMVocabulary
warm,,温暖,,210,805,,exam-data/NETEMVocabulary
range,,范围,,210,806,,exam-data/NETEMVocabulary
solution,,解决方案,,210,807,,exam-data/NETEMVocabulary
essential,,重要的,,209,808,,exam-data/NETEMVocabulary
particular,,特定的,,209,809,,exam-data/NETEMVocabulary
fashion,,时尚,,209,810,,exam-data/NETEMVocabulary
indicate,,表明,,209,811,,exam-data/NETEMVocabulary
accident,,事故,,209,812,,exam-data/NETEMVocabulary
slow,,慢的,,208,813,,exam-data/NETEMVocabulary
six,,六,,208,814,,exam-data/NETEMVocabulary
attach,,附上、附加,,208,815,,exam-data/NETEMVocabulary
respect,,尊重,,207,816,,exam-data/NETEMVocabulary
error,,错误,,207,817,,exam-data/NETEMVocabulary
happy,,快乐的,,207,818,,exam-data/NETEMVocabulary
credit,,信用,,207,819,,exam-data/NETEMVocabulary
expensive,,贵的,,207,820,,exam-data/NETEMVocabulary
finish,,完成,,207,821,,exam-data/NETEMVocabulary
deep,,深的,,206,822,,exam-data/NETEMVocabulary
bill,,账单,,206,823,,exam-data/NETEMVocabulary
fire,,火、开除,,206,824,,exam-data/NETEMVocabulary
site,,景点、站点,,204,825,,exam-data/NETEMVocabulary
moment,,时刻,,204,826,,exam-data/NETEMVocabulary
belief,,信仰、相信,,204,827,,exam-data/NETEMVocabulary
museum,,博物馆,,204,828,,exam-data/NETEMVocabulary
finally,,最终地,,203,829,,exam-data/NETEMVocabulary
address,,演说、地址,,202,830,,exam-data/NETEMVocabulary
concept,,概念,,202,831,,exam-data/NETEMVocabulary
crime,,犯罪,,202,832,,exam-data/NETEMVocabulary
damage,,损害,,202,833,,exam-data/NETEMVocabulary
negative,,消极的,,201,834,,exam-data/NETEMVocabulary
size,,大小,,201,835,sise,exam-data/NETEMVocabulary
restaurant,,饭馆,,201,836,,exam-data/NETEMVocabulary
federal,,联邦的,,200,837,,exam-data/NETEMVocabulary
labor,,劳动力,,199,838,labour,exam-data/NETEMVocabulary
progress,,进步,,199,839,,exam-data/NETEMVocabulary
robot,,机器人,,198,840,,exam-data/NETEMVocabulary
movement,,运动,,198,841,,exam-data/NETEMVocabulary
weather,,天气,,198,842,,exam-data/NETEMVocabulary
mistake,,错误,,198,843,,exam-data/NETEMVocabulary
infer,,推断,,197,844,,exam-data/NETEMVocabulary
enter,,进入,,197,845,,exam-data/NETEMVocabulary
charge,,收费、索价、充电,,197,846,,exam-data/NETEMVocabulary
medicine,,医药,,197,847,,exam-data/NETEMVocabulary
engage,,吸引、使参加,,196,848,,exam-data/NETEMVocabulary
executive,,实行的、经理,,195,849,,exam-data/NETEMVocabulary
wide,,广泛的、宽的,,195,850,,exam-data/NETEMVocabulary
variety,,多样化、种类,,195,851,,exam-data/NETEMVocabulary
race,,比赛、竞速,,195,852,,exam-data/NETEMVocabulary
object,,目标、物体,,195,853,,exam-data/NETEMVocabulary
manage,,管理、设法做到,,194,854,,exam-data/NETEMVocabulary
hospital,,医院,,194,855,,exam-data/NETEMVocabulary
official,,官方的,,193,856,,exam-data/NETEMVocabulary
huge,,大的,,193,857,,exam-data/NETEMVocabulary
hire,,雇佣,,192,858,,exam-data/NETEMVocabulary
hotel,,酒店,,192,859,,exam-data/NETEMVocabulary
treat,,对待,,191,860,,exam-data/NETEMVocabulary
perform,,演奏、执行,,191,861,,exam-data/NETEMVocabulary
employer,,雇主,,191,862,,exam-data/NETEMVocabulary
literature,,文学,,191,863,,exam-data/NETEMVocabulary
profit,,利润,,190,864,,exam-data/NETEMVocabulary
article,,文章,,190,865,,exam-data/NETEMVocabulary
weight,,体重,,190,866,,exam-data/NETEMVocabulary
trip,,旅行,,190,867,,exam-data/NETEMVocabulary
investment,,投资,,189,868,,exam-data/NETEMVocabulary
due,,预期的、到期的,,189,869,,exam-data/NETEMVocabulary
aspect,,样子、方面,,189,870,,exam-data/NETEMVocabulary
wear,,穿着,,189,871,,exam-data/NETEMVocabulary
define,,定义,,188,872,,exam-data/NETEMVocabulary
balance,,平衡,,188,873,,exam-data/NETEMVocabulary
enable,,使能够,,188,874,,exam-data/NETEMVocabulary
consumption,,消费、消耗,,187,875,,exam-data/NETEMVocabulary
character,,性格,,187,876,,exam-data/NETEMVocabulary
crisis,,危机,,187,877,,exam-data/NETEMVocabulary
dollar,,美元,,187,878,,exam-data/NETEMVocabulary
green,,绿的、未熟的,,187,879,,exam-data/NETEMVocabulary
immigrant,,移民,,186,880,,exam-data/NETEMVocabulary
contact,,联系,,186,881,,exam-data/NETEMVocabulary
cold,,冷的,,186,882,,exam-data/NETEMVocabulary
reality,,现实、真实的事物,,185,883,,exam-data/NETEMVocabulary
department,,部门,,185,884,,exam-data/NETEMVocabulary
comment,,评论,,184,885,,exam-data/NETEMVocabulary
board,,板,,184,886,,exam-data/NETEMVocabulary
consequence,,后果、结果,,184,887,,exam-data/NETEMVocabulary
style,,风格,,184,888,,exam-data/NETEMVocabulary
fight,,打斗,,184,889,,exam-data/NETEMVocabulary
advice,,建议,,184,890,,exam-data/NETEMVocabulary
meal,,饭,,184,891,,exam-data/NETEMVocabulary
worry,,担心,,184,892,,exam-data/NETEMVocabulary
tool,,工具,,182,893,,exam-data/NETEMVocabulary
waste,,浪费,,182,894,,exam-data/NETEMVocabulary
predict,,预测,,181,895,,exam-data/NETEMVocabulary
despite,,尽管,,181,896,,exam-data/NETEMVocabulary
morning,,早晨,,181,897,,exam-data/NETEMVocabulary
operation,,运营、操作,,180,898,,exam-data/NETEMVocabulary
industrial,,工业的,,179,899,,exam-data/NETEMVocabulary
stage,,阶段,,179,900,,exam-data/NETEMVocabulary
kill,,杀,,179,901,,exam-data/NETEMVocabulary
specific,,具体的、详细的,,178,902,,exam-data/NETEMVocabulary
highly,,高度地,,178,903,,exam-data/NETEMVocabulary
purchase,,购买,,178,904,,exam-data/NETEMVocabulary
director,,指挥者,,178,905,,exam-data/NETEMVocabulary
significant,,有意义的、重要的,,177,906,,exam-data/NETEMVocabulary
feeling,,感受,,177,907,,exam-data/NETEMVocabulary
replace,,替代,,177,908,,exam-data/NETEMVocabulary
yourself,,你自己、你亲自,,177,909,,exam-data/NETEMVocabulary
print,,打印,,177,910,,exam-data/NETEMVocabulary
shape,,形状,,177,911,,exam-data/NETEMVocabulary
thirty,,三十,,177,912,,exam-data/NETEMVocabulary
ground,,地面、场所,,176,913,,exam-data/NETEMVocabulary
screen,,屏幕,,176,914,,exam-data/NETEMVocabulary
struggle,,斗争、奋斗,,175,915,,exam-data/NETEMVocabulary
lay,,放置、躺、位于、说谎,,175,916,,exam-data/NETEMVocabulary
sea,,大海,,175,917,,exam-data/NETEMVocabulary
forget,,忘记,,174,918,,exam-data/NETEMVocabulary
expand,,扩大,,174,919,,exam-data/NETEMVocabulary
cross,,跨过、穿过,,174,920,,exam-data/NETEMVocabulary
multiple,,多种多样的、倍数,,174,921,,exam-data/NETEMVocabulary
wife,,妻子,,174,922,,exam-data/NETEMVocabulary
intellectual,,知识分子、知识的,,173,923,,exam-data/NETEMVocabulary
fund,,资金,,173,924,,exam-data/NETEMVocabulary
conduct,,实施、开展,,173,925,,exam-data/NETEMVocabulary
direct,,径直的、直接的,,173,926,,exam-data/NETEMVocabulary
ensure,,确保,,173,927,,exam-data/NETEMVocabulary
safety,,安全,,173,928,,exam-data/NETEMVocabulary
region,,地区,,173,929,,exam-data/NETEMVocabulary
tourist,,旅行者,,173,930,,exam-data/NETEMVocabulary
legal,,法律的、合法的,,172,931,,exam-data/NETEMVocabulary
link,,连接,,172,932,,exam-data/NETEMVocabulary
reflect,,反射、反映、思考,,172,933,,exam-data/NETEMVocabulary
aim,,目标,,172,934,,exam-data/NETEMVocabulary
husband,,丈夫,,172,935,,exam-data/NETEMVocabulary
underline,,下划线、强调,,171,936,,exam-data/NETEMVocabulary
worth,,值得,,171,937,,exam-data/NETEMVocabulary
freedom,,自由,,170,938,,exam-data/NETEMVocabulary
suppose,,假设,,170,939,,exam-data/NETEMVocabulary
reveal,,显露、展现,,170,940,,exam-data/NETEMVocabulary
poverty,,贫穷,,170,941,,exam-data/NETEMVocabulary
advance,,前进、提高,,169,942,,exam-data/NETEMVocabulary
south,,南、南方的,,169,943,,exam-data/NETEMVocabulary
smoke,,烟,,169,944,,exam-data/NETEMVocabulary
practical,,实际的,,169,945,,exam-data/NETEMVocabulary
male,,男性、男性的,,168,946,,exam-data/NETEMVocabulary
commercial,,商业的,,168,947,,exam-data/NETEMVocabulary
peer,,凝视、同伴、贵族,,168,948,,exam-data/NETEMVocabulary
attack,,攻击,,168,949,,exam-data/NETEMVocabulary
holiday,,假日,,168,950,,exam-data/NETEMVocabulary
